Table: bloz, Row Count: 186089
Table: ospp, Row Count: 1
Table: ospr, Row Count: 1
Table: ospt, Row Count: 1
Table: ospw, Row Count: 1
Table: ostl, Row Count: 1
Table: oszd, Row Count: 1
Table: oszh, Row Count: 1
Table: osms, Row Count: 1
Table: oszk, Row Count: 1
Table: oszp, Row Count: 1
Table: oszi, Row Count: 1
Table: oszs, Row Count: 1
Table: oszt, Row Count: 1
Table: oszr, Row Count: 1
Table: pasn, Row Count: 1
Table: pasa, Row Count: 1
Table: oszm, Row Count: 1
Table: oszy, Row Count: 1
Table: parg, Row Count: 1
Table: pdkt, Row Count: 1
Table: pdng, Row Count: 1
Table: pdpz, Row Count: 1
Table: pdnz, Row Count: 1
Table: pdsz, Row Count: 1
Table: pckt, Row Count: 1
Table: pgod, Row Count: 1
Table: pkng, Row Count: 1
Table: pcpr, Row Count: 1
Table: pdkz, Row Count: 1
Table: phfn, Row Count: 1
Table: pjsn, Row Count: 1
Table: pkpz, Row Count: 1
Table: plng, Row Count: 1
Table: plpz, Row Count: 1
Table: pmdt, Row Count: 1
Table: pmrq, Row Count: 1
Table: pmsg, Row Count: 1
Table: pnst, Row Count: 1
Table: polk, Row Count: 1
Table: polc, Row Count: 1
Table: pppz, Row Count: 1
Table: prhn, Row Count: 1
Table: pmpr, Row Count: 1
Table: pmob, Row Count: 1
Table: pmpz, Row Count: 1
Table: poai, Row Count: 1
Table: ppng, Row Count: 1
Table: prmg, Row Count: 1
Table: przl, Row Count: 1
Table: ptcp, Row Count: 1
Table: pxng, Row Count: 1
Table: ptng, Row Count: 1
Table: ptpz, Row Count: 1
Table: prsn, Row Count: 1
Table: ptrp, Row Count: 1
Table: pvst, Row Count: 1
Table: pxpz, Row Count: 1
Table: pzpd, Row Count: 1
Table: pzzl, Row Count: 1
Table: qark, Row Count: 1
Table: qars, Row Count: 1
Table: qasg, Row Count: 1
Table: qask, Row Count: 1
Table: qasl, Row Count: 1
Table: qktw, Row Count: 1
Table: rapx, Row Count: 1
Table: rfks, Row Count: 1
Table: regn, Row Count: 1
Table: rejh, Row Count: 1
Table: rapd, Row Count: 1
Table: rfkw, Row Count: 1
Table: rlpz, Row Count: 1
Table: rlrz, Row Count: 1
Table: rpdb, Row Count: 1
Table: rpkp, Row Count: 1
Table: rpdp, Row Count: 1
Table: rpks, Row Count: 1
Table: rkng, Row Count: 1
Table: rlng, Row Count: 1
Table: rlst, Row Count: 1
Table: rmio, Row Count: 1
Table: rmka, Row Count: 1
Table: rrze, Row Count: 1
Table: rspz, Row Count: 1
Table: rrfl, Row Count: 1
Table: rrfn, Row Count: 1
Table: rrfp, Row Count: 1
Table: rrzn, Row Count: 1
Table: rrzl, Row Count: 1
Table: rrzo, Row Count: 1
Table: rrzp, Row Count: 1
Table: rrzr, Row Count: 1
Table: rrfr, Row Count: 1
Table: rsng, Row Count: 1
Table: rtng, Row Count: 1
Table: rtpz, Row Count: 1
Table: rtzp, Row Count: 1
Table: scng, Row Count: 1
Table: scpz, Row Count: 1
Table: sftp, Row Count: 1
Table: sint, Row Count: 1
Table: skpc, Row Count: 1
Table: skpz, Row Count: 1
Table: slpn, Row Count: 1
Table: spal, Row Count: 1
Table: sest, Row Count: 1
Table: serw, Row Count: 1
Table: skfn, Row Count: 1
Table: spqr, Row Count: 1
Table: sprc, Row Count: 1
Table: sprd, Row Count: 1
Table: sprk, Row Count: 1
Table: sprt, Row Count: 1
Table: spwn, Row Count: 1
Table: spww, Row Count: 1
Table: spwt, Row Count: 1
Table: spws, Row Count: 1
Table: srvfn, Row Count: 1
Table: stob, Row Count: 1
Table: swdc, Row Count: 1
Table: stpl, Row Count: 1
Table: stsp, Row Count: 1
Table: srvsk, Row Count: 1
Table: szng, Row Count: 1
Table: srvz, Row Count: 1
Table: stpr, Row Count: 1
Table: swkw, Row Count: 1
Table: swkz, Row Count: 1
Table: szpr, Row Count: 1
Table: tkks, Row Count: 1
Table: tfng, Row Count: 1
Table: tfpz, Row Count: 1
Table: tken, Row Count: 1
Table: szpz, Row Count: 1
Table: tppz, Row Count: 1
Table: trfn, Row Count: 1
Table: trsl, Row Count: 1
Table: tbvc, Row Count: 1
Table: tedo, Row Count: 1
Table: tpng, Row Count: 1
Table: trsp, Row Count: 1
Table: tupp, Row Count: 1
Table: twla, Row Count: 1
Table: uknf, Row Count: 1
Table: trsr, Row Count: 1
Table: tung, Row Count: 1
Table: tupz, Row Count: 1
Table: twsm, Row Count: 1
Table: twzr, Row Count: 1
Table: ucwd, Row Count: 1
Table: ucwl, Row Count: 1
Table: uczl, Row Count: 1
Table: uknp, Row Count: 1
Table: vint, Row Count: 1
Table: wdng, Row Count: 1
Table: wdpz, Row Count: 1
Table: wdwz, Row Count: 1
Table: wkrr, Row Count: 1
Table: wnsg, Row Count: 1
Table: whdo, Row Count: 1
Table: whre, Row Count: 1
Table: wizt, Row Count: 1
Table: wnng, Row Count: 1
Table: wnpp, Row Count: 1
Table: wnpz, Row Count: 1
Table: wnsz, Row Count: 1
Table: wnus, Row Count: 1
Table: wnzn, Row Count: 1
Table: wnzp, Row Count: 1
Table: wppz, Row Count: 1
Table: wrfz, Row Count: 1
Table: wydr, Row Count: 1
Table: wzmg, Row Count: 1
Table: xdokf, Row Count: 1
Table: xsprz, Row Count: 1
Table: xzkng, Row Count: 1
Table: xzkpz, Row Count: 1
Table: wumw, Row Count: 1
Table: wpng, Row Count: 1
Table: wpps, Row Count: 1
Table: wpsk, Row Count: 1
Table: wrfg, Row Count: 1
Table: wskz, Row Count: 1
Table: zalz, Row Count: 1
Table: zbum, Row Count: 1
Table: zdpo, Row Count: 1
Table: zdps, Row Count: 1
Table: zgrr, Row Count: 1
Table: zkpz, Row Count: 1
Table: zang, Row Count: 1
Table: zapz, Row Count: 1
Table: zbfc, Row Count: 1
Table: zbfn, Row Count: 1
Table: zblc, Row Count: 1
Table: zbpc, Row Count: 1
Table: zdhs, Row Count: 1
Table: zmkn, Row Count: 1
Table: zmna, Row Count: 1
Table: zmok, Row Count: 1
Table: zwgn, Row Count: 1
Table: zsbl, Row Count: 1
Table: zsml, Row Count: 1
Table: zsst, Row Count: 1
Table: zmdf, Row Count: 1
Table: zmpz, Row Count: 1
Table: zmpf, Row Count: 1
Table: zmre, Row Count: 1
Table: zmwz, Row Count: 1
Table: znng, Row Count: 1
Table: znpz, Row Count: 1
Table: zpng, Row Count: 1
Table: zppz, Row Count: 1
Table: zptw, Row Count: 1
Table: zwgr, Row Count: 1
Table: zwpz, Row Count: 1
Table: zwst, Row Count: 1
Table: firm, Row Count: 1
Table: aank, Row Count: 1
Table: adnd, Row Count: 1
Table: anag, Row Count: 1
Table: andc, Row Count: 1
Table: anod, Row Count: 1
Table: prfm, Row Count: 1
Table: ubzp, Row Count: 1
Table: arle, Row Count: 1
Table: bdon, Row Count: 1
Table: bdoo, Row Count: 1
Table: bdos, Row Count: 1
Table: cbkd, Row Count: 1
Table: cgrn, Row Count: 1
Table: cgrp, Row Count: 1
Table: impd, Row Count: 1
Table: przn, Row Count: 1
Table: erec, Row Count: 1
Table: lbpt, Row Count: 1
Table: wlty, Row Count: 1
Table: zkng, Row Count: 1
Table: mvsw, Row Count: 1
Table: osap, Row Count: 1
Table: oskr, Row Count: 1
Table: prsp, Row Count: 1
Table: rfkg, Row Count: 1
Table: rkpz, Row Count: 1
Table: rrfe, Row Count: 1
Table: scwa, Row Count: 1
Table: spwp, Row Count: 1
Table: zwrt, Row Count: 1
Table: imph, Row Count: 0
Table: temp, Row Count: 0
